Series,Year,Purchases
Milk and milk products excluding cheese,1974,29.2287077765
Cheese,1974,8.6940484463
Carcase meat,1974,44.4797838803
Non-carcase meat and meat products,1974,55.9154682906
Fish,1974,13.6523419474
Eggs,1974,11.4299766169
Fats,1974,14.5370652643
Sugar and preserves,1974,9.186113732
Fresh and processed potatoes,1974,13.9125608841
"Fresh and processed vegetables, excluding potatoes",1974,27.1235583074
Fresh and processed fruit,1974,21.010712478
Bread,1974,21.2793270153
Flour,1974,2.2969133315
"Cakes, buns and pastries",1974,12.2718385705
Biscuits and crispbreads,1974,11.7932652263
Other cereals and cereal products,1974,10.5958286748
Beverages,1974,11.9134487912
"Other food and drink (mineral water, baby food, soups, pickles, ice cream, salt, artificial sweeteners, spices, mayonnaise etc.)",1974,12.11604502
Soft drinks,1974,0
Confectionery,1974,0
Alcoholic drinks,1974,0
Milk and milk products excluding cheese,1975,37.239801699
Cheese,1975,10.3771221693
Carcase meat,1975,52.2597803869
Non-carcase meat and meat products,1975,65.1597792861
Fish,1975,15.945793103
Eggs,1975,11.4635538846
Fats,1975,18.0691243668
Sugar and preserves,1975,15.5540814502
Fresh and processed potatoes,1975,21.5608900391
"Fresh and processed vegetables, excluding potatoes",1975,32.7616878358
Fresh and processed fruit,1975,25.4031738548
Bread,1975,24.5423869706
Flour,1975,2.2714426111
"Cakes, buns and pastries",1975,14.1269619451
Biscuits and crispbreads,1975,14.939924388
Other cereals and cereal products,1975,13.3800484505
Beverages,1975,13.2886053511
"Other food and drink (mineral water, baby food, soups, pickles, ice cream, salt, artificial sweeteners, spices, mayonnaise etc.)",1975,15.0248579529
Soft drinks,1975,0
Confectionery,1975,0
Alcoholic drinks,1975,0
Milk and milk products excluding cheese,1976,49.0306907274
Cheese,1976,12.0510830482
Carcase meat,1976,58.879760945
Non-carcase meat and meat products,1976,75.8377100224
Fish,1976,18.3600737233
Eggs,1976,12.8516450045
Fats,1976,20.8434882587
Sugar and preserves,1976,14.7612454284
Fresh and processed potatoes,1976,32.4502783737
"Fresh and processed vegetables, excluding potatoes",1976,36.7922190676
Fresh and processed fruit,1976,27.8097453232
Bread,1976,26.9536623681
Flour,1976,2.5742797891
"Cakes, buns and pastries",1976,14.3749071021
Biscuits and crispbreads,1976,16.118992398
Other cereals and cereal products,1976,15.4315098795
Beverages,1976,16.5619985809
"Other food and drink (mineral water, baby food, soups, pickles, ice cream, salt, artificial sweeteners, spices, mayonnaise etc.)",1976,17.3974863899
Soft drinks,1976,0
Confectionery,1976,0
Alcoholic drinks,1976,0
Milk and milk products excluding cheese,1977,57.835677291
Cheese,1977,15.1219834898
Carcase meat,1977,69.653562635
Non-carcase meat and meat products,1977,90.9528223114
Fish,1977,20.5272758921
Eggs,1977,14.0770328945
Fats,1977,25.6406348082
Sugar and preserves,1977,15.6320952868
Fresh and processed potatoes,1977,26.8399019029
"Fresh and processed vegetables, excluding potatoes",1977,41.7485145187
Fresh and processed fruit,1977,33.9121660825
Bread,1977,32.0145771326
Flour,1977,3.6648313418
"Cakes, buns and pastries",1977,16.3626246158
Biscuits and crispbreads,1977,18.7969623153
Other cereals and cereal products,1977,18.1600918511
Beverages,1977,26.7621255163
"Other food and drink (mineral water, baby food, soups, pickles, ice cream, salt, artificial sweeteners, spices, mayonnaise etc.)",1977,19.5841853329
Soft drinks,1977,0
Confectionery,1977,0
Alcoholic drinks,1977,0
Milk and milk products excluding cheese,1978,65.5295432347
Cheese,1978,16.6221460331
Carcase meat,1978,80.3757355597
Non-carcase meat and meat products,1978,101.2629231868
Fish,1978,24.0315650541
Eggs,1978,14.1772907461
Fats,1978,27.9288897737
Sugar and preserves,1978,16.3146152108
Fresh and processed potatoes,1978,24.1507031914
"Fresh and processed vegetables, excluding potatoes",1978,43.3834459493
Fresh and processed fruit,1978,37.1828149355
Bread,1978,36.6076498412
Flour,1978,3.8590776109
"Cakes, buns and pastries",1978,17.9510095966
Biscuits and crispbreads,1978,20.9704318521
Other cereals and cereal products,1978,21.1654003897
Beverages,1978,29.0130891637
"Other food and drink (mineral water, baby food, soups, pickles, ice cream, salt, artificial sweeteners, spices, mayonnaise etc.)",1978,21.3168647178
Soft drinks,1978,0
Confectionery,1978,0
Alcoholic drinks,1978,0
Milk and milk products excluding cheese,1979,74.0164400582
Cheese,1979,20.1568855224
Carcase meat,1979,92.2133323312
Non-carcase meat and meat products,1979,117.090875483
Fish,1979,27.9473411057
Eggs,1979,16.2665329915
Fats,1979,31.1069625151
Sugar and preserves,1979,18.0228355389
Fresh and processed potatoes,1979,31.1136420658
"Fresh and processed vegetables, excluding potatoes",1979,51.6142045722
Fresh and processed fruit,1979,41.1427670065
Bread,1979,41.3337526341
Flour,1979,3.8651299713
"Cakes, buns and pastries",1979,21.093359594
Biscuits and crispbreads,1979,23.9701660048
Other cereals and cereal products,1979,24.8071726819
Beverages,1979,30.0004332279
"Other food and drink (mineral water, baby food, soups, pickles, ice cream, salt, artificial sweeteners, spices, mayonnaise etc.)",1979,24.3354504095
Soft drinks,1979,0
Confectionery,1979,0
Alcoholic drinks,1979,0
Milk and milk products excluding cheese,1980,83.7690097093
Cheese,1980,23.7890311212
Carcase meat,1980,104.835842036
Non-carcase meat and meat products,1980,129.9387597861
Fish,1980,32.3847899601
Eggs,1980,17.6111856271
Fats,1980,32.8756943343
Sugar and preserves,1980,19.5613683517
Fresh and processed potatoes,1980,32.5572670817
"Fresh and processed vegetables, excluding potatoes",1980,58.1857703027
Fresh and processed fruit,1980,48.4059543845
Bread,1980,47.696865564
Flour,1980,4.0549250148
"Cakes, buns and pastries",1980,23.1230764865
Biscuits and crispbreads,1980,26.9780315891
Other cereals and cereal products,1980,30.3090333947
Beverages,1980,31.5186530199
"Other food and drink (mineral water, baby food, soups, pickles, ice cream, salt, artificial sweeteners, spices, mayonnaise etc.)",1980,28.2300848128
Soft drinks,1980,0
Confectionery,1980,0
Alcoholic drinks,1980,0
Milk and milk products excluding cheese,1981,89.1501286768
Cheese,1981,26.0330034896
Carcase meat,1981,102.356372077
Non-carcase meat and meat products,1981,141.5252458148
Fish,1981,34.6417335399
Eggs,1981,18.6178957521
Fats,1981,33.2891594376
Sugar and preserves,1981,21.1587037484
Fresh and processed potatoes,1981,38.2218236756
"Fresh and processed vegetables, excluding potatoes",1981,62.1026267011
Fresh and processed fruit,1981,50.6635868946
Bread,1981,51.0957854113
Flour,1981,4.434200861
